# Label,Runtime,INST_Tot,ENERGY_Tot,ENERGY_Proc,ENERGY_DRAM,Energy_Efficiency,EXEC,IPC,FREQ,AFREQ,L3MISS_Rate,L2MISS_Rate,L3HIT,L2HIT,L3MPI,L2MPI,READ_Rate,WRITE_Rate,INST_Rate,POWER_Total,POWER_Proc,POWER_DRAM
2101000,39.705,1527150.0,18455.13,15266.6,3188.53,82.7493493679,0.111402,0.5607,0.33167075,1.2445,599.693590228,674.867900768,0.2344975,0.22375,0.012209905,0.013754575,40.7003400076,12.6954287873,38462.4102758,464.806195693,384.500692608,80.3055030853
2100000,150.457,1583988.0,48961.87,41544.4,7417.47,32.3514604324,0.0313178993289,0.631543624161,0.0773368389262,0.996637583893,158.178143922,179.572103658,0.535093959732,0.212036912752,0.00497875838926,0.00846263758389,11.0140904046,3.45403404295,10527.8451651,325.421017301,276.12141675,49.2996005503
2000000,146.666,1558742.0,33322.64,27072.2,6250.44,46.777266147,0.0316735862069,0.562172413793,0.078011862069,0.946710344828,162.489765863,183.6419211,0.529897931034,0.21592,0.00500200275862,0.00808569655172,11.2879808545,3.46004186383,10627.834672,227.200850913,184.584020836,42.6168300765
1900000,146.67,1549933.0,31585.31,25328.0,6257.31,49.0713246126,0.0314883655172,0.604765517241,0.0741655862069,0.900331034483,161.884625349,183.088525261,0.524910344828,0.220689655172,0.00520122344828,0.00853350344828,11.2404581714,3.48631622009,10567.4848299,215.349492057,172.686984387,42.6625076703
1800000,149.731,1554452.0,31922.49,25553.3,6369.19,48.6945723845,0.0309340337838,0.623993243243,0.0707803378378,0.852939189189,159.746886082,179.906432202,0.534433108108,0.230292567568,0.00511952027027,0.00842432432432,11.0855200326,3.41959113343,10381.6310584,213.19893676,170.661386086,42.5375506742
1700000,149.799,1553458.0,31395.87,25013.5,6382.37,49.4796927112,0.0309020878378,0.623067567568,0.0686407432432,0.805148648649,159.185134747,179.655091155,0.530681756757,0.220745945946,0.00520455135135,0.00853546621622,11.0462553155,3.42946414863,10370.2828457,209.586646106,166.98042043,42.6062256757
1600000,152.981,1553665.0,31411.39,24919.2,6492.19,49.4618353406,0.0302419006623,0.637754966887,0.0640678807947,0.755470198675,155.097306201,175.332296167,0.526168874172,0.221770198675,0.00527830728477,0.00864986754967,10.7672397226,3.33378981704,10155.9343971,205.32870095,162.890816507,42.4378844432
1500000,158.289,1551364.0,31771.61,25127.7,6643.91,48.8286240452,0.0291670897436,0.632762820513,0.0598764102564,0.700942307692,150.820189653,170.068823481,0.557218589744,0.212849358974,0.00516611987179,0.00898406410256,10.4571795892,3.26812854968,9800.8326542,200.71900132,158.745711957,41.9732893631
1400000,158.167,1550851.0,31477.49,24848.5,6628.99,49.2685725577,0.0292134294872,0.650621794872,0.0569146153846,0.657935897436,150.65695752,169.826885507,0.53156025641,0.219241025641,0.00526571474359,0.00864123717949,10.4445434256,3.20568955598,9805.14898809,199.014269728,157.102935505,41.9113342227
1300000,161.815,1548834.0,31288.19,24536.5,6751.69,49.5021923608,0.0281991069182,0.686238993711,0.0515544025157,0.61734591195,148.640472144,166.827339863,0.540804402516,0.218628301887,0.00527194402516,0.00886836477987,10.2898581714,3.11435713624,9571.63427371,193.357785125,151.633037728,41.7247473967
1200000,164.478,1558122.0,31400.19,24516.9,6883.29,49.6214194882,0.0282496851852,0.671938271605,0.0504132716049,0.571,144.849736743,163.235460062,0.527455555556,0.218122839506,0.00546717592593,0.00903748765432,10.0337412906,3.09253456389,9473.13318499,190.90814577,149.058840696,41.8493050742
