# Label,Runtime,INST_Tot,ENERGY_Tot,ENERGY_Proc,ENERGY_DRAM,Energy_Efficiency,EXEC,IPC,FREQ,AFREQ,L3MISS_Rate,L2MISS_Rate,L3HIT,L2HIT,L3MPI,L2MPI,READ_Rate,WRITE_Rate,INST_Rate,POWER_Total,POWER_Proc,POWER_DRAM
2101000,199.686,20114600.0,83366.83,75591.0,7775.83,241.278215808,0.299803030303,0.382752525253,0.784409090909,1.23994949495,5.0873871979,25.8736215859,0.796207070707,0.184595959596,5.13343434343e-05,0.000268903535354,0.42453652234,0.220891800126,100731.147902,417.489608686,378.549322436,38.9402862494
2100000,5.027,390900.0,1900.44,1693.5,206.94,205.689208815,0.2308,0.3318,0.739,0.9992,33.1251243286,54.2271732644,0.5574,0.11264,0.00040696,0.000684,2.19335587826,0.625621643127,77760.0954844,378.046548637,336.880843445,41.165705192
2000000,24.249,1838300.0,6592.75,5902.5,690.25,278.836600811,0.225458333333,0.36475,0.629416666667,0.951833333333,10.9072539074,31.419852365,0.735041666667,0.143566666667,0.00015555,0.0004375,0.794300795909,0.304754835251,75809.3117242,271.877190812,243.412099468,28.465091344
1900000,7.058,484900.0,1817.69,1592.1,225.59,266.767160517,0.204285714286,0.323285714286,0.666142857143,0.904285714286,28.4315670162,48.4414848399,0.535571428571,0.112128571429,0.000415528571429,0.000718285714286,1.90889770473,0.580759421933,68702.1819212,257.536129215,225.573816945,31.9623122698
1800000,11.104,813500.0,2754.68,2424.6,330.08,295.315608347,0.217727272727,0.347181818182,0.649,0.856727272727,18.1637247839,38.4185878963,0.644272727273,0.126336363636,0.000258018181818,0.000545090909091,1.26125720461,0.40625,73261.8876081,248.079971182,218.353746398,29.7262247839
1700000,9.083,567000.0,2109.09,1830.9,278.19,268.836322774,0.185555555556,0.337,0.576,0.809222222222,22.1964108775,40.5042386877,0.566555555556,0.117344444444,0.000360533333333,0.000678888888889,1.52317516239,0.470439282175,62424.309149,232.201915667,201.574369702,30.627545965
1600000,7.066,446600.0,1629.22,1404.3,224.92,274.118903524,0.187428571429,0.313857142857,0.617571428571,0.761857142857,28.1234078687,42.4285309935,0.457857142857,0.116714285714,0.000481785714286,0.000726571428571,1.88380979338,0.556326068497,63204.0758562,230.571752052,198.740447212,31.8313048401
1500000,20.247,1289000.0,4431.6,3855.8,575.8,290.865601589,0.1894,0.35795,0.5396,0.71395,12.3662764854,31.6194991851,0.69375,0.137715,0.000208365,0.0005194,0.884476712599,0.323455326715,63663.7526547,218.876870648,190.438089594,28.438781054
1400000,6.058,332200.0,1318.76,1119.7,199.06,251.903303103,0.162716666667,0.301833333333,0.5645,0.666833333333,31.4460217894,44.635193133,0.397666666667,0.108683333333,0.0005738,0.000832166666667,2.10894684714,0.595576097722,54836.5797293,217.689006273,184.82997689,32.8590293826
1300000,7.074,374200.0,1482.29,1257.5,224.79,252.447226926,0.157,0.305142857143,0.536142857143,0.619,26.106870229,38.7051173311,0.449285714286,0.113771428571,0.000517771428571,0.000774285714286,1.77297144473,0.479926491377,52897.936104,209.540571105,177.763641504,31.7769296014
1200000,5.045,219400.0,1022.42,851.4,171.02,214.588916492,0.12904,0.2798,0.4936,0.571,34.1962338949,44.8166501487,0.3056,0.09152,0.0007282,0.0009878,2.29415262636,0.58810703667,43488.6025768,202.660059465,168.761149653,33.8989098117
